epoch,accuracy,loss,val_accuracy,val_loss
0,0.36507058,1.334820126946072,0.43515849113464355,1.2927002415533368
1,0.63686687,0.9986901550849917,0.6685879230499268,0.8821545287923785
2,0.7926931,0.5790996570320562,0.7204610705375671,0.7293434242693766
3,0.85053974,0.4051864587086045,0.7060518860816956,0.7269069160782982
4,0.887628,0.31859291009780216,0.7060518860816956,0.81663008227472
5,0.9081096,0.2650780339560085,0.6974063515663147,0.806489595075162
6,0.92277884,0.22009001931687522,0.6974063515663147,0.8582102735379243
7,0.93855524,0.1844046519109822,0.6743515729904175,0.9319712954227106
8,0.9521174,0.1569114506756075,0.6858789920806885,0.9619744208772862
9,0.9570994,0.13750210924884998,0.6858789920806885,1.0058765352974708
10,0.9642956,0.12101138433672998,0.6858789920806885,1.0797065673369153
11,0.9665098,0.11398964690974041,0.6714697480201721,1.1366991526111745
12,0.96955436,0.09733175055953627,0.6772334575653076,1.1810782060499494
13,0.96955436,0.09408970740452355,0.6685879230499268,1.2348393363293035
14,0.96955436,0.09463938510876975,0.6829971075057983,1.2041761359838656
15,0.9728757,0.085213996748366,0.6714697480201721,1.3206468629905745
16,0.9745364,0.08039796693673795,0.6628242135047913,1.299281559347763
17,0.97508997,0.07643294650875702,0.6570605039596558,1.3738307001267798
18,0.97647387,0.07409041262869231,0.6657060384750366,1.4138823917688486
19,0.97370607,0.0755492862058278,0.6657060384750366,1.3838225304221556
20,0.97592026,0.07182172142482682,0.6714697480201721,1.4213507422796243
21,0.97647387,0.06958295078471266,0.6628242135047913,1.5016776328471622
22,0.97592026,0.06964563327196263,0.6628242135047913,1.5083172034461492
23,0.97647387,0.06404618153009856,0.6599423885345459,1.5038614120194822
24,0.9781345,0.05893566055646604,0.6685879230499268,1.506122030511026
